Model,Epoch,Train_Accuracy,Train_F1,Train_Recall,Train_Precision,Val_Accuracy,Val_F1,Val_Recall,Val_Precision
DenseNet121,16,0.8333333333333334,0.8319496609437698,0.8333333333333334,0.847479088342317,0.45219123505976094,0.40370660216277743,0.45219123505976094,0.4036670777208626
DenseNet121,17,0.8647234678624813,0.8625862420419705,0.8647234678624813,0.8755565567411606,0.450199203187251,0.3994730313953421,0.450199203187251,0.4010272402453677
DenseNet121,18,0.8809167912306926,0.879632765507205,0.8809167912306926,0.8910742955212312,0.4342629482071713,0.38572427083645366,0.4342629482071713,0.3856885340202073
DenseNet121,19,0.9060787244643747,0.9046257830637501,0.9060787244643747,0.9128383989370537,0.46115537848605576,0.4129292354391956,0.46115537848605576,0.41449203187250994
DenseNet121,20,0.9272546088689586,0.9269164719463674,0.9272546088689586,0.9344568810749677,0.4850597609561753,0.4368336179093151,0.4850597609561753,0.43466251543940787
DenseNet121,21,0.9367214748380668,0.9358573912385572,0.9367214748380668,0.9407235390419247,0.5358565737051793,0.4868781727347464,0.5358565737051793,0.48826519319547207
DenseNet121,22,0.9412057797708022,0.9406808935956918,0.9412057797708022,0.9464991577099201,0.5149402390438247,0.4718459495351926,0.5149402390438247,0.4751660026560425
DenseNet121,23,0.9476831091180867,0.9471151018609912,0.9476831091180867,0.9522679550145918,0.5278884462151394,0.4811926895592234,0.5278884462151394,0.48005122367672165
DenseNet121,24,0.9554060787244644,0.954851079552126,0.9554060787244644,0.958858281728237,0.5159362549800797,0.46628960349079873,0.5159362549800797,0.4661615442989945
DenseNet121,25,0.9539113104135526,0.9535815842243346,0.9539113104135526,0.9575091346952334,0.5049800796812749,0.4532133371276797,0.5049800796812749,0.453174207930184
EfficientNet-B0,1,0.01968111609367215,0.012643234837036655,0.01968111609367215,0.01584322576198249,0.07071713147410359,0.039102233447320736,0.07071713147410359,0.037206858161350186
EfficientNet-B0,2,0.13801694070752366,0.12056336300042346,0.13801694070752366,0.13244725472208535,0.23705179282868527,0.172883752447849,0.23705179282868527,0.16236823236147918
EfficientNet-B0,3,0.3572496263079223,0.33696544392765326,0.3572496263079223,0.35880963382062475,0.36752988047808766,0.3065303001557982,0.36752988047808766,0.3031795695066525
EfficientNet-B0,4,0.547085201793722,0.5366441760084714,0.547085201793722,0.5664286247993274,0.4551792828685259,0.39117131761554075,0.4551792828685259,0.38130296275216596
EfficientNet-B0,5,0.7050323866467364,0.6990972612806065,0.7050323866467364,0.7216504790122129,0.5557768924302788,0.500884557010055,0.5557768924302788,0.5013873079112122
EfficientNet-B0,6,0.7869955156950673,0.7830933576910891,0.7869955156950673,0.7996967683813722,0.5747011952191236,0.5191767561787481,0.5747011952191236,0.5155916018465819
EfficientNet-B0,7,0.8535127055306427,0.8522447387764367,0.8535127055306427,0.8645828075760811,0.5916334661354582,0.5424429267058749,0.5916334661354582,0.5449416619237336
EfficientNet-B0,8,0.8806676631788739,0.8788150291469558,0.8806676631788739,0.8906646452423732,0.6354581673306773,0.59015604249668,0.6354581673306773,0.5939503889205084
EfficientNet-B0,9,0.908570004982561,0.907286482548067,0.908570004982561,0.9146309345860915,0.6424302788844621,0.5973139189274648,0.6424302788844621,0.6034279548472776
EfficientNet-B0,10,0.92152466367713,0.921211664933638,0.92152466367713,0.9277353666927658,0.6444223107569721,0.5955226712198823,0.6444223107569721,0.6006474103585657
EfficientNet-B0,11,0.9307424015944196,0.9303003884424793,0.9307424015944196,0.9359631441470005,0.6344621513944223,0.5905789540251691,0.6344621513944223,0.5955262284196546
EfficientNet-B0,12,0.9344793223716991,0.9339891188919589,0.9344793223716991,0.9387652146060218,0.6444223107569721,0.598316258774426,0.6444223107569721,0.6012118193891103
EfficientNet-B0,13,0.9449427005480817,0.9440317599136732,0.9449427005480817,0.9503036989584074,0.651394422310757,0.6038322898880668,0.651394422310757,0.6091633466135458
EfficientNet-B0,14,0.9474339810662681,0.9470749811556987,0.9474339810662681,0.9513696111229744,0.6404382470119522,0.5912303168279264,0.6404382470119522,0.5920982735723772
EfficientNet-B0,15,0.9461883408071748,0.9455936080749235,0.9461883408071748,0.9503885211284315,0.6424302788844621,0.603365110984633,0.6424302788844621,0.6106613229621197
EfficientNet-B0,16,0.9551569506726457,0.9546348837454965,0.9551569506726457,0.9596027000735522,0.6623505976095617,0.6296362170366154,0.6623505976095617,0.6414603490798709
EfficientNet-B0,17,0.9588938714499252,0.958475636913604,0.9588938714499252,0.962627925277402,0.6394422310756972,0.596701290077784,0.6394422310756972,0.6002916903813319
EfficientNet-B0,18,0.9446935724962631,0.9442466007114736,0.9446935724962631,0.9489892519040501,0.6593625498007968,0.6202902675014229,0.6593625498007968,0.6239375830013281
EfficientNet-B0,19,0.9576482311908321,0.9575224587182735,0.9576482311908321,0.9609954445156239,0.6802788844621513,0.63429140580535,0.6802788844621513,0.6337151394422311
EfficientNet-B0,20,0.9623816641753862,0.9620507903766499,0.9623816641753862,0.965695067264574,0.6543824701195219,0.6080179282868525,0.6543824701195219,0.6109656611648644
EfficientNet-B0,21,0.9676133532635774,0.9675218984636025,0.9676133532635774,0.9708837521057252,0.6603585657370518,0.6179386350701092,0.6603585657370518,0.6223107569721115
EfficientNet-B0,22,0.971350274040857,0.9708841717436635,0.971350274040857,0.9736256435808005,0.6563745019920318,0.6145465756023524,0.6563745019920318,0.6180776892430279
EfficientNet-B0,23,0.971350274040857,0.9712469407910366,0.971350274040857,0.9742920611194154,0.6663346613545816,0.6238011158827891,0.6663346613545816,0.627361190159995
EfficientNet-B0,24,0.9696063776781265,0.9693867044763906,0.9696063776781265,0.9719891095451634,0.6713147410358565,0.6301223676721684,0.6713147410358565,0.6285192563081009
EfficientNet-B0,25,0.9820627802690582,0.9818296288774614,0.9820627802690582,0.9836441502360783,0.6782868525896414,0.6330029089989249,0.6782868525896414,0.6308527793587554
